,PID,Start,Finish
0,POI1,1900-01-01 10:00:00,1900-01-01 17:00:00
1,POI1,1900-01-01 18:30:00,1900-01-01 21:15:00
2,POI2,1900-01-01 09:30:00,1900-01-01 17:00:00
3,POI3,1900-01-01 09:00:00,1900-01-01 17:00:00
4,POI4,1900-01-01 09:00:00,1900-01-01 16:30:00
5,POI5,1900-01-01 09:00:00,1900-01-01 17:00:00
6,POI5,1900-01-01 19:00:00,1900-01-01 22:00:00
7,POI6,1900-01-01 10:00:00,1900-01-01 18:00:00
8,POI7,1900-01-01 06:30:00,1900-01-01 12:00:00
9,POI7,1900-01-01 12:30:00,1900-01-01 20:30:00
10,POI8,1900-01-01 12:00:00,1900-01-01 22:30:00
11,POI9,1900-01-01 09:00:00,1900-01-01 17:00:00
12,POI9,1900-01-01 19:00:00,1900-01-01 22:00:00
13,POI10,1900-01-01 08:00:00,1900-01-01 20:00:00
14,POI11,1900-01-01 06:00:00,1900-01-01 17:00:00
15,POI11,1900-01-01 18:00:00,1900-01-01 20:00:00
16,POI12,1900-01-01 05:00:00,1900-01-01 21:00:00
17,POI13,1900-01-01 10:30:00,1900-01-01 17:00:00
18,POI14,1900-01-01 04:30:00,1900-01-01 11:30:00
19,POI14,1900-01-01 17:45:00,1900-01-01 21:30:00
20,POI15,1900-01-01 04:30:00,1900-01-01 21:15:00
21,POI16,1900-01-01 06:00:00,1900-01-01 20:00:00
22,POI17,1900-01-01 06:00:00,1900-01-01 18:00:00
23,POI18,1900-01-01 00:00:00,1900-01-01 23:59:00
24,POI19,1900-01-01 05:00:00,1900-01-01 20:00:00
25,POI20,1900-01-01 09:00:00,1900-01-01 17:00:00
26,POI21,1900-01-01 08:00:00,1900-01-01 17:00:00
27,POI22,1900-01-01 07:00:00,1900-01-01 21:00:00
28,POI23,1900-01-01 10:00:00,1900-01-01 17:00:00
29,POI24,1900-01-01 08:30:00,1900-01-01 17:30:00
30,POI25,1900-01-01 10:00:00,1900-01-01 17:00:00
31,POI26,1900-01-01 11:00:00,1900-01-01 02:00:00
32,POI27,1900-01-01 00:00:00,1900-01-01 23:59:00
33,POI28,1900-01-01 07:30:00,1900-01-01 12:00:00
34,POI28,1900-01-01 16:00:00,1900-01-01 20:00:00
35,POI29,1900-01-01 00:00:00,1900-01-01 23:59:00
36,POI30,1900-01-01 05:00:00,1900-01-01 22:00:00
37,POI31,1900-01-01 10:00:00,1900-01-01 18:00:00
38,POI32,1900-01-01 05:45:00,1900-01-01 08:30:00
39,POI32,1900-01-01 16:45:00,1900-01-01 19:15:00
40,POI33,1900-01-01 08:00:00,1900-01-01 22:30:00
41,POI34,1900-01-01 11:00:00,1900-01-01 18:00:00
42,POI35,1900-01-01 12:00:00,1900-01-01 20:00:00
43,POI36,1900-01-01 17:30:00,1900-01-01 23:00:00
44,POI37,1900-01-01 09:00:00,1900-01-01 17:00:00
45,POI38,1900-01-01 07:00:00,1900-01-01 18:00:00
46,POI39,1900-01-01 10:00:00,1900-01-01 23:00:00
47,POI40,1900-01-01 11:00:00,1900-01-01 20:00:00
48,POI41,1900-01-01 11:00:00,1900-01-01 22:00:00
49,POI42,1900-01-01 07:30:00,1900-01-01 12:00:00
50,POI42,1900-01-01 16:00:00,1900-01-01 17:30:00
51,POI43,1900-01-01 11:00:00,1900-01-01 20:00:00
52,POI44,1900-01-01 00:00:00,1900-01-01 23:59:00
53,POI45,1900-01-01 11:00:00,1900-01-01 20:00:00
54,POI46,1900-01-01 12:00:00,1900-01-01 22:00:00
55,POI47,1900-01-01 00:00:00,1900-01-01 23:59:00
56,POI48,1900-01-01 06:00:00,1900-01-01 18:30:00
57,POI49,1900-01-01 00:00:00,1900-01-01 23:59:00
58,POI50,1900-01-01 06:00:00,1900-01-01 17:00:00
59,POI51,1900-01-01 00:00:00,1900-01-01 23:59:00
60,POI52,1900-01-01 12:00:00,1900-01-01 20:00:00
61,POI53,1900-01-01 08:30:00,1900-01-01 17:00:00
62,POI54,1900-01-01 09:00:00,1900-01-01 17:00:00
63,POI55,1900-01-01 06:00:00,1900-01-01 22:00:00
64,POI56,1900-01-01 06:30:00,1900-01-01 20:00:00
65,POI57,1900-01-01 08:00:00,1900-01-01 12:00:00
66,POI57,1900-01-01 16:00:00,1900-01-01 20:00:00
67,POI58,1900-01-01 00:00:00,1900-01-01 23:59:00
68,POI59,1900-01-01 06:00:00,1900-01-01 17:00:00
69,POI60,1900-01-01 00:00:00,1900-01-01 23:59:00
70,POI61,1900-01-01 00:00:00,1900-01-01 23:59:00
71,POI62,1900-01-01 05:00:00,1900-01-01 18:00:00
72,POI63,1900-01-01 09:00:00,1900-01-01 05:00:00
73,POI64,1900-01-01 05:00:00,1900-01-01 19:00:00
74,POI65,1900-01-01 10:00:00,1900-01-01 20:00:00
75,POI66,1900-01-01 10:00:00,1900-01-01 23:00:00
76,POI67,1900-01-01 05:00:00,1900-01-01 21:00:00
77,POI68,1900-01-01 10:00:00,1900-01-01 19:00:00
78,POI69,1900-01-01 10:00:00,1900-01-01 19:00:00
79,POI70,1900-01-01 09:00:00,1900-01-01 13:00:00
80,POI71,1900-01-01 00:00:00,1900-01-01 23:59:00
81,POI72,1900-01-01 06:00:00,1900-01-01 18:00:00
82,POI73,1900-01-01 09:00:00,1900-01-01 18:00:00
